	PK:clearance	PK:half-life	PK:protein-binding
Midostaurin	The clearance values of during the initial formation of metabolites are 1.47 L/h for CGP62221 metabolite and 0.501 L/h for CGP52421. 28 days following the oral administration of midostaurin, the clearance of CGP52421 may increase up to 5.2 fold in a recommended dose of 25 mg, resulting in a 2.1- to 2.5-fold increase in total clearance of midostaurin [A19109]. 	Elimination half life is approximately 21 hrs for midostaurin, 32 hrs for CGP62221 and 482 hrs  for CGP52421. 	Midostaurin predominantly binds to α1-acid glycoprotein in vitro. The parent drug and its metabolites are >99.8% bound to plasma proteins in vitro. 
Milataxel			
Milatuzumab			
Miltefosine	Plasma clearance is very low and the terminal elimination half life was found to be 84 and 159 hours in rats and dogs respectively. 	The primary elimination half life is 7.05 days (range: 5.45-9.10 days) and the terminal half-life is 30.9 days (range: 30.8-31.2 days). 	Plasma protein binding ranges from 96% to 98%. Miltefosine binds to both serum albumin (97% bound) and low-density lipoprotein (3% bound).
Mirvetuximab Soravtansine			
Mitomycin		8-48 min	
Mitoxantrone	* 21.3 L/hr/m2 [Elderly patients with breast cancer receiving IV administration of 15-90 mg/m2]&#13;* 28.3 L/hr/m2 [Non-elderly patients with nasopharyngeal carcinoma receiving IV administration of 15-90 mg/m2]&#13;* 16.2 L/hr/m2 [Non-elderly patients with  malignant lymphoma receiving IV administration of 15-90 mg/m2]	75 hours	78%
Mocetinostat			
Mogamulizumab			
Molgramostim			
Motesanib			
Motolimod			
Motolimod 			
NV1020			
Navitoclax			
Nedaplatin	Clearance of the free platinum is 4.47 L/h [A20307].		Approximately 50% of the platinum from nedaplatin appears to be bound to human plasma proteins [A20306].
Nelarabine	* 197  +/-  189 L/h/m2 [Adult patients with refractory leukemia or lymphoma receiving doses of 199 to 2,900 mg/m2]&#13;* 259  +/-  409 L/h/m2 [Pediatric patients with refractory leukemia or lymphoma receiving doses of 104 to 2,900 mg/m2]	Nelarabine and ara-G are rapidly eliminated from plasma with a half-life of approximately 30 minutes and 3 hours.	Nelarabine and ara-G are not substantially bound to human plasma proteins (<25%) in vitro, and binding is independent of nelarabine or ara-G concentrations up to 600 mM.
Nelfinavir		3.5 - 5 hours	&gt;98%
Neratinib	The total clearance during multiple doses is 216 L/h for after the first dose and 281 L/h during steady state [FDA Label].	The mean half life of elimination ranges from 7-17 h following a single dose [FDA Label]. The mean plasma half life during multiple doses is 14.6 h for neratinib, 21.6 h for M3, 13.8 h for M6, and 10.4 h for M7.	Neratinib is over 99% bound to human plasma proteins [FDA Label]. It binds both human serum albumin and α1 acid glycoprotein.
Nilotinib		15 hours	
Nimotuzumab			
Nimustine			
Nintedanib	Total plasma clearance after intravenous infusion was found to be 1390 mL/min, while renal clearance was found to be 20 mL/min.	9.5 hours	The in vitro protein binding of nintedanib in human plasma was high, with a bound fraction of 97.8%. Serum albumin is considered to be the major binding protein. 
Niraparib	the apparent total clearance (CL/F) of niraparib was 16.2 L/h in cancer patients.  	Following multiple daily doses of 300 mg niraparib, the mean half-life (t1/2) is 36 hours.	Niraparib is 83.0% bound to human plasma proteins.
Nirogacestat			
Nivolumab	9.5 mL/hr	26.7 days	
Nolatrexed			
ODM-201			
ONT-093			
OSI-7836			
OSI-7904L			
OXI-4503			
Obatoclax			
Obinutuzumab	The clearance of obinutuzumab is 0.09L/day.	The half life of obinutuzumab is 28.4 days.	Obinutuzumab does not bind to plasma proteins.
Oblimersen			
Octreotide	* 7 – 10 L/hr [healthy after 100-mcg SC injection]&#13;* 18 L/hr [patients with acromegaly after 100-mcg SC injection]&#13;* 8.8 L/hr [mild renal impairment after 100-mcg SC injection]&#13;* 7.3 L/hr [moderate renal impairment after 100-mcg SC injection]&#13;* 7.6 L/hr [severe renal impairment after 100-mcg SC injection]&#13;* 4.5 L/hr [severe renal failure requiring dialysis after 100-mcg SC injection]&#13;* 5.9 L/hr [Patients with liver cirrhosis after 100-mcg SC injection]&#13;* 8.2 L/hr [patients with fatty liver disease after 100-mcg SC injection]		
Ofatumumab	0.01 L/hr &#13;Exhibited large inter-subject variability with CV% greater than 50%.	Approximately 14 days.&#13;Range: 2.3 to 61.5 days	
Olaparib	8.6 +/- 7.1L/h.	11.9 hours, standard deviation 4.8 hours.	Approximately 82%. 
Olaratumab	Mean value of 0.56L/day	Estimated value of 11 days	None
Oleandrin			
Omacetaxine mepesuccinate	Clearance for homoharringtonine was not quantified.	Homoharringtonine has a half life of about 6 hours after subcutaneous administration.	Plasma protein binding is equal or less than 50%.
Omipalisib			
Onartuzumab			
Oprozomib			
Orantinib			
Orteronel			
Osimertinib	Oral clearance is 14.2 L/hr. 	The population estimated mean half-life is 48 hours. 	Plasma protein binding is likely high due to its physiochemical properties.
Oxaliplatin	 * 10 - 17 L/h [renal clearance] 	The decline of ultrafilterable platinum levels following oxaliplatin administartion is triphasic, with two distribution phases: t1/2α; 0.43 hours and t1/2β; 16.8 hours. This is followed by a long terminal elimination phase that lasts 391 hours (t1/2γ). 	Plasma protein binding of platinum (active metabolite) is irreversible and is greater than 90%, primarily to albumin and gamma-globulins. It is also irreversibly binds to erythrocytes. 
PD-0325901			
PF-04691502			
PHA-793887			
PI-88			
PM02734			
PR-104			
PTC299			
PX-12			
Paclitaxel	* 21.7 L/h/m2 [Dose 135 mg/m2, infusion duration 24 h]&#13;* 23.8 L/h/m2 [Dose 175 mg/m2, infusion duration 24 h]&#13;* 7 L/h/m2 [Dose 135 mg/m2, infusion duration 3 h]&#13;* 12.2 L/h/m2 [Dose 175 mg/m2, infusion duration 3 h]	When a 24 hour infusion of 135 mg/m^2 is given to ovarian cancer patients, the elimination half=life is 52.7 hours. 	89%-98% bound to plasma protein. The presence of cimetidine, ranitidine, dexamethasone, or diphenhydramine did not affect protein binding of paclitaxel.
Palbociclib	63.1 L/hr	The mean plasma elimination half-life is 29 hours.	Binding of palbociclib to human plasma proteins in vitro is approximately 85%.
Palifermin		Elimination half-life: 4.5 hours (range: 3.3-5.7 hours)	
Pamidronate	* 107 +/- 50 mlL/min	The mean &plusmn; SD elimination half-life is 28 &plusmn; 7 hours	Approximately 54% to human serum proteins.
Panitumumab	* 4.9+/- 1.4 mL/kg/day [Following single-dose administrations of panitumumab as 1-hour infusions]	7.5 days (range: 4-11 days)	
Panobinostat		30 hours	
Paricalcitol	* 1.49 +/- 0.60 L/h [chronic kidney disease Stage 5 with hemodialysis]&#13;* 1.54 +/- 0.95 L/h [chronic kidney disease Stage 5with peritoneal dialysis]	4 to 6 hours	99.8% (bound to plasma proteins)
Parthenolide			
Patritumab			
Patupilone			
Pazopanib	CL, cancer patient, IV administration 5 mg = 4mL/min &#13;Half of the absorbed dose is cleared via oxidative metabolism. 	35 hours. Oral absorption is not the rate limiting step of elimination from the plasma. 	>99% protein bound, independent of concentrations over a range of 10-100 μg/mL. 
Pegdinetanib			
Peginterferon alfa-2a	The mean systemic clearance of peginterferon alfa-2a is 94 milliliters per hour [FDA Label].	The mean terminal half-life of peginterferon alfa-2a is 164 in a range of 84-353 hours [FDA Label].	
Pelitinib			
Pembrolizumab	0.22 L/day&#13;	23 days	As an intravenously administered antibody, the drug is immediately and completely bioavailable and is not expected to bind to plasma proteins in a specific manner. 
Pemetrexed	* 91.8 mL/min [Cancer patients with normal renal function receiving 0.2 to 838 mg/m2 infusion  over a 10-minute period]	3.5 hours	81%
Penclomedine			
Pentosan Polysulfate		4.8 hours	
Perifosine			
Pertuzumab	0.24 L/day 	18 days 	
Pevonedistat			
Picoplatin			
Picropodophyllin			
Pilaralisib			
Pirfenidone		2-2.5 hours	
Piroxicam		30 to 86 hours	
Pixantrone	Plasma clearance is 0.75 - 1.31 L/h/kg. [2]	Half life is 12 hours. [2] 	Anthracyclines, which may be effective second line treatments for NHL have limited use in therapy because of cumulative cardiotoxicity which may result in irreversible damage to cardiac tissue. [2] 
Plevitrexed			
Plicamycin			There is no evidence of protein binding, nor is there any evidence of metabolism of the carbohydrate moiety of the drug to carbon dioxide and water with loss through respiration.
Plinabulin			
Plitidepsin			
Pomalidomide	Total body clearance = 7-10 L/hour 	Healthy subjects = 9.4 hours;&#13;Multiple myeloma patients = 7.5 hours. 	12-44% protein bound. It is not concentration dependent. 
Ponatinib		After oral administration of 45 mg ponatinib once daily for 28 days in cancer patients, the terminal elimination half-life is 24 hours (range of 12 - 66 hours). 	> 99% bound to plasma proteins. 
Porfimer sodium	* Renal cl=199.7 +/-  56.9 mL/min [Healthy subjects receiving a single 300-mg oral dose]	10-452 hours	~90%
Poziotinib			
Pracinostat			
Pralatrexate	R- pralatrexate = 191 mL/min&#13;S- pralatrexate = 417 mL/min &#13;Mean clearance of both enantiomers is 220 mL/min. 	12-18 hours 	67 - 86% bound to plasma protein, albumin is the major binder. Does not significantly displace substrates from proteins. 
Prednimustine			
Procarbazine		10 minutes	
Propylthiouracil		2 hours	82%
Pyrazoloacridine			
RAV12			
RO-4987655			
Radium Ra 223 Dichloride	The clearance rate of radium-223 was not quantified.	The half-life is relatively long at 11.4 days for radium-223.&#13;	There is negligible plasma protein binding.
Raltitrexed		198 hours	>93%
Ramucirumab	0.014 L/hour 	15 days	
Ranibizumab	Clearance was not quantified.	Approximately 9 days.	Plasma protein binding is insignificant.
Rasburicase		18 hours	
Rebimastat			
Refametinib			
Regorafenib		Regorafenib, 160 mg oral dose = 28 hours (14 - 58 hours); &#13;M2 metabolite, 160 mg oral dose = 25 hours (14-32 hours); &#13;M5 metabolite, 160 mg oral dose = 51 hours (32-72 hours);  	Regorafenib is highly bound (99.5%) to human plasma proteins.
Repifermin			
Resminostat			
Retaspimycin			
Ridaforolimus			
Rigosertib			
Rilotumumab			
Rituximab	* 0.34 L/day [RA patients]	0.8 hours (mammalian reticulocytes, in vitro)	
Rociletinib			
Romidepsin	8.4L/h	Approximately 3 hours	Highly protein bound in plasma (92%-94%)
Roniciclib			
Rovalpituzumab Tesirine			
Rubitecan			
Rucaparib	Following continuous 600mg rucaparib administration orally twice daily, the apparent clearance ranges from 15.3 to 79.2 L/hour. The clearance ranged from 13.9 to 18.4 L/hour, following a single intravenous dose of rucaparib 12 mg to 40 mg [FDA Label]. 	Following a single oral dose of 600mg rucaparib, the mean terminal half life (t1/2) was 17-19 hours [FDA Label].	In vitro, the protein binding of rucaparib was 70% in human plasma at therapeutic concentrations. Rucaparib preferentially distributed to red blood cells with a blood-to-plasma concentration ratio of 1.83 [FDA Label]. 
Ruxolitinib	15 mg, healthy subject = 18.7 L/h. 	Mean elimination half-life, 15 mg, healthy subject = 2.8 hours. 	97% protein bound, primarily to albumin. 
S-3304			
SAR-405838			
SF1126			
SJG-136			
SNS-032			
SNX-5422			
SRT501			
SVV-001			
Sabarubicin			
Sacituzumab govitecan			
Sagopilone			
Salirasib			
Samarium (153Sm) lexidronam			
Sapacitabine			
Sapanisertib			
Saracatinib			
Satraplatin			
Selenic acid			
Selenious acid		30 days in beagle dogs [L1910].	
Seliciclib			
Selinexor			
Selumetinib			
Semaxanib			
Serdemetan			
Sermorelin		11-12 min	
Siltuximab	Body weight was identified as the only statistically significant covariate of siltuximab clearance, therefore body weight based dosing is appropriate. Based on population pharmacokinetic analysis, the clearance of situximab in patients is 0.23 L/day. 	The mean terminal half life after the first intravenous infusion of 11 mg/kg is 20.6 days. 	
Siplizumab			
Sirolimus		57-63 hours	92%
Soblidotin			
Sodium aurothiomalate	7.0 ml/ kg/day 	12.5 days	About 85-90% of the drug is protein bound.
Somatostatin		2-3 min due to rapid metabolism by peptidase enzymes [A20384].	
Sonidegib		Half-life ~ 28 days (2)	Sonidegib is over 97% bound to plasma proteins, and binding is independent of concentration. (2)
Sorafenib		25-48 hours	99.5% bound to plasma proteins. 
Squalamine			
Sulindac	* Renal cl=68.12 +/- 27.56 mL/min [NORMAL (19-41 yrs)]	The mean half-life of sulindac is 7.8 hours while the mean half-life of the sulfide metabolite is 16.4 hours.	At 1 mcg/ml concentrations, approximately 93% sulindac and 98% of its sulfide metabolite are bound to human serum albumin.
Sunitinib	* 34 - 62 L/h [Total oral clearance] 	Following administration of a single oral dose in healthy volunteers, the terminal half-lives of sunitinib and its primary active metabolite are approximately 40 to 60 hours and 80 to 110 hours, respectively.	Binding of sunitinib and its primary metabolite to human plasma protein in vitro was 95% and 90%, respectively.
Suramin		Approximately 36 to 60 days	Approximately 99.7%
T-900607			
TAK-733			
TAS-102			
TAS-106			
TNP-470			
Tacedinaline			
Tamoxifen	Clearance (CL/F) as body weight adjusted in female pediatric patients was approximately 2.3-fold higher than in female breast cancer patients. 	The decline in tamoxifen plasma concentrations is biphasic with a terminal elimination half-life of approximately 5 to 7 days. The estimated half-life of N-desmethyl tamoxifen is 14 days. 	
Tandutinib			
Tanespimycin			
Tanomastat			
Tariquidar			
Tasisulam			
Tasquinimod			
Tazarotene		The half-life of the active form of the drug, tazarotenic acid, is approximately 18 hours in normal and psoriatic patients.	The active form of the drug, tazarotenic acid, is highly bound to plasma proteins (>99%).
Tecemotide			
Telbivudine	* 7.6 +/- 2.9 L/h [Normal renal function (Clcr>80 mL/min)]&#13;* 5.0 +/- 1.2 L/h [Mild renal function impairement (Clcr=50-80 mL/min)]&#13;* 2.6 +/- 1.2 L/h [Moderate renal function impairement (Clcr=30-49 mL/min)]&#13;* 0.7 +/- 0.4 L/h [Severe renal function impairement (Clcr<30 mL/min)]	Approximately 15 hours.	In vitro binding of telbivudine to human plasma proteins is low (3.3%).
Temozolomide	* 5.5 L/hr/m2	Approximately 1.8 hours.	15%
Temsirolimus	16.2 L/h (22%)	Temsirolimus exhibits a bi-exponential decline in whole blood concentrations and the mean half-lives of temsirolimus and sirolimus were 17.3 hr and 54.6 hr, respectively.	87% bound to plasma proteins <i>in vitro</i> at a concentration of 100 ng/ml
Terameprocol			
Tesmilifene			
Testosterone		10-100 minutes	40% of testosterone in plasma is bound to sex hormone-binding globulin and 2% remains unbound and the rest is bound to albumin and other proteins.
Tezacitabine			
Thalidomide		The mean half-life of elimination ranges from approximately 5 to 7 hours following a single dose and is not altered upon multiple dosing.	55% and 66% for the (+)R and (&minus;)S enantiomers, respectively.
Thiotepa	* 446 +/- 63 mL/min [female patients (45 to 84 years) with advanced stage ovarian cancer receiving 60 mg and 80 mg thiotepa by intravenous infusion on subsequent courses given at 4-week intervals]	1.5 to 4.1 hours	
Tigecycline		27-43 hours	71% to 89%
Tioguanine		When the compound was given in singles doses of 65 to 300 mg/m^2, the median plasma half-disappearance time was 80 minutes (range 25-240 minutes)	
Tiomolibdate ion			
Tipifarnib			
Tirapazamine			
Tivantinib			
Tivozanib			
Tocladesine			
Tocotrienol			
Topotecan		2-3 hours	35%
Tositumomab	* 68.2 mg/hr [patients with NHL]	0.8 hours (mammalian reticulocytes, in vitro)	
Trabectedin		33-50 hours	94 to 98%
Trametinib	Apparent clearance = 4.9 L/h. 	Elimination half-life = 3.9-4.8 days. 	97.4% bound to human plasma proteins. 
Trastuzumab	Elimination may involve clearance of IgG through the reticuloendothelial system.	average 28.5 days. Pharmacokinetics are nonlinear; increased doses are associated with increased mean half-life and decreased clearance.	
Trastuzumab emtansine	After IV infusion, trastuzumab emtansine has a clearance of 0.68 L/day.	Trastuzumab emtansine has a long half life of about 4 days.	DM1 has a plasma protein binding value of 93%.
Trebananib			
Tremelimumab			
Treosulfan			
Tretazicar			
Triapine			
Tributyrin			
Triciribine			
Tridolgosir			
Triptorelin	In healthy male volunteers, total clearance of triptorelin was 211.9 mL/min.	The pharmacokinetics of triptorelin follows a 3 compartment model.  The half lives are estimated to be 6 minutes, 45 minutes, and 3 hours respectively.	Triptorelin does not bind to plasma proteins at clinically relevant concentrations.
Troxacitabine			
Ublituximab			
Urelumab			
Uridine triacetate		2 to 2.5 hours	
Vadimezan			
Valproic Acid	* 0.56 L/hr/1.73 m2 [plasma clearance, total valproate]&#13;* 4.6 L/hr/1.73 m2 [plasma clearance, free valproate] &#13;* 4.8 ± 0.17 L/hr/1.73 m2 [males, unbound clearance]&#13;* 4.7 ± 0.07 L/hr/1.73 m2 [females, unbound clearance]	9-16 hours (following oral administration of 250 mg to 1000 mg) 	Concentration-dependent, from 90% at 40 µg/mL to 81.5% at 130 µg/mL. Higher than expected free fractions occur in the elderly, in hyperlipidemic patients, and in patients with hepatic and renal diseases. It may also affect the extent of protein binding of other drugs such as phenytoin or carbamazepine. 
Vandetanib		Median half life of 19 days.	Protein binding of about 90%.
Varlilumab			
Vatalanib		Approximately 6 hours.	
Veliparib			
Veltuzumab			
Vemurafenib	The total body clearance is 31 L/day.[A31274]	The elimination half-life of Vemurafenib is estimated to be 57 hours (range of 30-120 hours).[A31274]	Vemurafenib highly binds to plasma proteins where >99% of the administered dose will be found protein bound to serum albumin and alpha-1 acid glycoprotein.[A31274]
Venetoclax		26 hr	Venetoclax is highly bound to human plasma protein with unbound fraction in plasma <0.01 across a concentration range of 1-30 µM (0.87-26 µg/mL). The mean blood-to-plasma ratio was 0.57.
Verubulin			
Vincristine		When intravenously injected into cancer patients, a triphasic serum decay patten was observed. The initial, middle, and terminal half-lives are 5 minutes, 2.3 hours, 85 hours respectively. The range of the terminal half-life is humans is 19 - 155 hours. 	~75%
Vinflunine			
Vinorelbine	The plasma clearance of vinorelbine is high, approaching the same as hepatic blood flow in humans, and its volume of distribution is large, indicating extensive extravascular distribution. In comparison to vinblastine or vincristine [A32354].	The terminal phase half-life averaged 27.7 to 43.6 hours; the mean plasma clearances ranged from 0.97 to 1.26 L/hr/kg [A32354]. 	80-90% [L2000]
Vintafolide			
Vismodegib		The half-life after a single dose is 12 days, and after continuous daily dosing is 4 days.	Vismodegib is highly protein bound with plasma protein binding at about 99%. Vismodegib binds to the plasma proteins, albumin and alpha-1-acid glycoprotein (saturable bnding).
Vitamin C		16 days (3.4 hours in people who have excess levels of vitamin C)	25%
Volasertib			
Volociximab			
Vorinostat		2 hours	71%
Vosaroxin			
Voxtalisib			
WX-G250			
ZD-6126			
Zalypsis			
Zibotentan			
Zoptarelin doxorubicin			
Zosuquidar			
motexafin gadolinium			
oportuzumab monatox			
talactoferrin alpha			
